movieid,imdbid,tmdbid
5,0113041,11862
12,0112896,12110
13,0112453,21032
14,0113987,10858
16,0112641,524
18,0113101,5
22,0112722,1710
24,0114168,12665
25,0113627,451
27,0114011,9263
33,0114952,78802
35,0112637,47018
38,0113442,33689
58,0110877,11010
59,0112714,99040
63,0116126,10607
64,0118002,19760
65,0115683,9536
66,0116839,11525
69,0113118,10634
70,0116367,755
71,0113010,11859
73,0113828,48750
74,0115644,20927
75,0115676,36929
76,0114367,9102
77,0113973,124626
78,0112744,27526
79,0116731,9623
80,0112445,46785
81,0114660,400
82,0112379,880
83,0114039,146599
85,0112365,8447
87,0116151,17414
88,0115697,13997
89,0113972,2086
90,0113490,61548
95,0115759,9208
96,0113403,40154
97,0113247,406
98,0111173,45549
99,0113283,63076
100,0115907,11062
101,0115734,13685
104,0116483,9614
105,0112579,688
106,0110251,11907
107,0117110,10874
111,0075314,103
114,0113774,71754
115,0112556,43612
116,0112373,51352
117,0115033,16934
118,0116606,10324
120,0117427,55731
121,0106473,32119
122,0103859,11066
128,0110217,290157
129,0114131,110972
134,0114500,124636
137,0113756,5757
140,0118055,9302
141,0115685,11000
142,0094878,
144,0112585,16388
146,0112342,30765
149,0109093,30157
150,0112384,568
153,0112462,414
155,0112495,1873
157,0109370,1775
161,0112740,8963
162,0109508,26564
163,0112851,8068
165,0112864,1572
167,0113044,259209
168,0113071,6520
169,0113114,9073
170,0113243,10428
172,0113481,9886
174,0113500,19326
176,0113677,9071
177,0113690,8973
179,0113729,47608
180,0113749,2293
182,0113851,68274
183,0110604,48787
184,0110620,34574
186,0113986,11472
187,0114095,36196
189,0114241,58372
192,0114435,56088
193,0114436,10802
194,0114478,10149
196,0114508,9348
197,0114534,139408
199,0058450,5967
200,0114666,79593
201,0114663,47939
205,0114798,52856
207,0114887,9560
214,0110882,19155
215,0112471,76
217,0112438,37141
218,0112571,9382
219,0112757,6715
226,0112899,61813
227,0109676,4954
231,0109686,8467
232,0111797,10451
235,0109707,522
236,0113117,397
237,0113097,10525
241,0113089,21183
242,0109771,10954
243,0113199,47867
245,0109906,72031
251,0113360,32631
254,0113463,87729
257,0113501,9061
268,0110365,47504
272,0110428,11318
274,0113755,40490
275,0110538,24070
277,0110527,10510
278,0113808,17402
279,0113896,38722
280,0113870,8438
281,0110684,11593
285,0106402,56428
287,0110671,131957
290,0110729,527
291,0114151,18220
292,0114069,6950
294,0114113,63020
296,0110912,680
297,0114084,41478
298,0105652,25296
300,0110932,11450
302,0110963,10452
306,0111495,110
308,0111507,109
310,0114268,36357
313,0111333,22586
314,0111112,14334
319,0111149,9905
320,0108260,87078
321,0106966,12527
322,0114594,20306
326,0110081,31439
327,0114614,9067
329,0111280,193
330,0114609,25066
331,0111454,46797
334,0111590,32636
338,0114857,9271
339,0114924,2064
340,0111667,19855
345,0109045,2759
350,0109446,10731
364,0110357,8587
377,0111257,1637
378,0111256,15128
379,0111438,8831
387,0110399,26352
388,0112570,39953
392,0108069,18242
393,0111301,11667
395,0112849,267188
398,0113104,42981
400,0113319,291731
401,0113827,226229
402,0114047,203119
403,0112889,172923
409,0109035,19092
411,0111804,38129
414,0109067,46094
415,0106292,9409
421,0109279,14522
423,0109303,178
424,0109305,19819
425,0109306,57834
431,0106519,6075
435,0106598,9612
440,0106673,11566
441,0106677,9571
442,0106697,9739
451,0106926,18551
452,0111712,25440
453,0106941,9024
454,0106918,37233
455,0106965,1634
462,0109920,41006
470,0110064,16097
473,0110123,12475
476,0110137,59930
479,0107286,6
483,0107322,34024
489,0107478,12121
492,0107507,10440
496,0111689,83718
497,0107616,11971
500,0107614,788
503,0110649,41588
504,0110678,10447
505,0110687,31586
507,0107808,9559
508,0107818,9800
509,0107822,713
512,0111003,25557
522,0105275,10412
524,0108002,14534
525,0108026,56583
526,0105032,41878
533,0111143,8850
534,0108101,10445
535,0108122,695
544,0108238,11074
546,0108255,9607
547,0111323,17585
549,0108328,20967
550,0111418,10635
553,0108358,11969
558,0110763,15139
559,0107779,161158
561,0110259,85247
562,0114906,11446
563,0107002,51980
564,0109403,24405
565,0104029,11655
568,0106408,14587
577,0109120,21352
580,0110892,37345
581,0112651,32562
582,0107642,47507
584,0106678,124304
585,0112572,9066
586,0099785,771
587,0099653,251
588,0103639,812
590,0099348,581
591,0114706,80350
594,0029583,408
597,0100405,114
598,0110719,41043
600,0110395,15477
601,0111752,59146
602,0109934,124472
603,0112606,30528
604,0115978,
605,0117247,7300
606,0112625,10824
607,0106537,261246
608,0116282,275
609,0116552,25059
612,0117283,23570
613,0116684,47333
615,0070506,51242
616,0065421,10112
617,0113083,4307
619,0116165,32308
620,0102855,88893
623,0113839,123505
625,0090665,44281
627,0113613,12520
628,0117381,1592
629,0114305,166901
634,0114658,36259
635,0116275,41852
637,0117608,9099
638,0113448,2021
639,0116414,61752
640,0116095,10988
641,0111543,11479
644,0116485,339428
650,0117071,18989
652,0112257,54285
655,0117117,124625
663,0116768,18414
664,0116269,47502
666,0113720,27098
670,0052572,896
671,0117128,3065
672,0114616,318177
673,0117705,2300
674,0062711,8069
675,0110061,288173
676,0140614,187851
679,0114307,221917
680,0058898,8072
687,0109491,124460
688,0114048,27281
693,0109751,117730
694,0117774,20762
699,0103095,277270
700,0112368,25969
707,0117107,10990
708,0117979,8866
709,0095776,12233
710,0115851,23449
711,0116322,36355
712,0109374,37667
713,0110712,90148
714,0112817,922
744,0112586,124613
745,0112691,532
746,0040366,26744
747,0117768,16299
752,0105737,215107
754,0113188,35645
755,0042644,110465
763,0116833,63564
764,0113280,22621
765,0116669,7095
767,0113211,46732
768,0114494,124633
769,0116992,
771,0094265,202425
772,0105201,196940
773,0070820,77771
782,0116277,9566
783,0116583,10545
786,0116213,9268
787,0113147,52059
788,0117218,9327
790,0111546,81949
791,0113610,
792,0093199,42005
793,0106810,124306
795,0111237,44535
796,0072362,44495
801,0116493,38223
806,0115530,31546
807,0114266,77056
808,0115493,36344
809,0116320,18550
810,0116756,11511
812,0109356,172198
813,0116823,34170
814,0112568,281085
816,0117999,124645
818,0118073,12606
819,0108220,69895
820,0049521,35206
824,0110246,12632
825,0116164,9098
834,0117332,92381
837,0117008,10830
841,0053459,31417
846,0113080,46986
847,0115680,144982
848,0117718,47907
849,0116225,10061
853,0104109,66634
854,0051980,116690
855,0100840,213917
856,0107575,145925
857,0042054,100914
858,0068646,238
859,0116536,
860,0109255,159
861,0104558,11134
862,0116985,88224
864,0114936,132641
865,0114474,42758
866,0115736,9303
867,0115836,23945
868,0101692,37820
869,0116745,22479
873,0075169,10232
879,0120004,11015
881,0116311,12559
888,0113596,19004
889,0109001,101230
892,0117991,44705
902,0054698,164
913,0033870,963
918,0037059,909
920,0031381,770
921,0084370,31044
924,0062622,62
925,0039428,121357
926,0042192,705
927,0032143,22490
928,0032976,223
929,0032484,25670
941,0032762,32093
942,0037008,1939
943,0039420,22292
944,0029162,3598
949,0048028,220
950,0025878,3529
951,0032599,3085
953,0038650,1585
954,0031679,3083
955,0029947,900
956,0034012,43795
957,0017350,85638
1018,0059793,20723
1024,0038166,15947
1088,0092890,88
1089,0105236,500
1090,0091763,792
1091,0098627,8491
1103,0048545,221
1116,0113057,102461
1124,0082846,11816
1125,0072081,11843
1164,0060304,8074
1165,0115715,124676
1213,0099685,769
1245,0100150,379
1246,0097165,207
1247,0061722,37247
1248,0052311,1480
1250,0050212,826
1251,0056801,422
1255,0092610,9964
1259,0092005,235
1262,0057115,5925
1265,0107048,137
1266,0105695,33
1267,0056218,982
1268,0100436,8428
1272,0066206,11202
1273,0090967,1554
1278,0072431,3034
1281,0032553,914
1359,0116705,9279
1360,0084116,53234
1365,0117477,12709
1368,0042354,199512
1369,0110171,64900
1370,0099423,1573
1371,0079945,152
1372,0102975,174
1374,0084726,154
1375,0088170,157
1378,0096487,11967
1379,0100994,9086
1381,0084021,9037
1389,0085750,17692
1391,0116996,75
1392,0115906,13891
1406,0112769,1802
1408,0104691,9361
1411,0116477,10549
1415,0118100,49935
1417,0117364,36758
1422,0119731,9415
1427,0120390,34314
1428,0112362,2892
1429,0116704,9404
1430,0120414,85242
1433,0110425,197537
1440,0106266,31000
1441,0106387,4104
1443,0117907,203829
1487,0120094,16052
1493,0116931,76996
