id,imdbid,title,release,runtime,budget,revenue,popularity,vote_average,vote_count
5,tt0113101,Four Rooms,1995,98,4000000,4300000,9.02659,6.5,539
12,tt0266543,Finding Nemo,2003,100,94000000,940335536,25.4978,7.6,6292
13,tt0109830,Forrest Gump,1994,142,55000000,677945399,48.3072,8.2,8147
14,tt0169547,American Beauty,1999,122,15000000,356296601,20.7266,7.9,3438
16,tt0168629,Dancer in the Dark,2000,140,12800000,40031879,10.6848,7.7,392
18,tt0119116,The Fifth Element,1997,126,90000000,263920180,24.3053,7.3,3962
22,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,140000000,655011224,47.3267,7.5,7191
24,tt0266697,Kill Bill: Vol. 1,2003,111,30000000,180949000,25.2619,7.7,5091
25,tt0418763,Jarhead,2005,125,72000000,96889998,9.99703,6.6,776
27,tt0411705,9 Songs,2004,66,1000000,1574623,18.8477,5.1,103
33,tt0105695,Unforgiven,1992,131,14000000,159157447,10.9421,7.7,1133
35,tt0462538,The Simpsons Movie,2007,87,75000000,527068851,14.3029,6.9,2335
38,tt0338013,Eternal Sunshine of the Spotless Mind,2004,108,20000000,72258126,12.9063,7.9,3758
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,151,200000000,1065659812,29.4553,7,5380
59,tt0399146,A History of Violence,2005,96,32000000,60740827,11.1197,6.9,850
63,tt0114746,Twelve Monkeys,1995,129,29500000,168840000,12.2973,7.4,2470
64,tt0287467,Talk to Her,2002,112,9285469,51001550,6.64828,7.5,273
65,tt0298203,8 Mile,2002,110,41000000,215000000,8.37436,6.8,1676
66,tt0118548,Absolute Power,1997,121,50000000,50068310,7.66124,6.4,226
69,tt0358273,Walk the Line,2005,136,28000000,186438883,11.4764,7.3,732
70,tt0405159,Million Dollar Baby,2004,132,30000000,216763646,14.4714,7.7,2519
71,tt0249462,Billy Elliot,2000,110,5000000,110000000,12.1584,7.4,774
73,tt0120586,American History X,1998,119,20000000,23875127,18.1572,8.2,3120
74,tt0407304,War of the Worlds,2005,116,132000000,591739379,19.9294,6.2,2397
75,tt0116996,Mars Attacks!,1996,106,70000000,101371017,15.6342,6.1,1544
76,tt0112471,Before Sunrise,1995,105,2500000,5535405,11.305,7.7,984
77,tt0209144,Memento,2000,113,9000000,39723096,15.4508,8.1,4168
78,tt0083658,Blade Runner,1982,117,28000000,33139618,9.62724,7.9,3833
79,tt0299977,Hero,2002,99,31000000,177394432,9.86176,7.3,647
80,tt0381681,Before Sunset,2004,80,2700000,15992615,7.04896,7.6,734
81,tt0087544,Nausicaä of the Valley of the Wind,1984,117,1000000,3301446,11.2674,7.7,808
82,tt0430357,Miami Vice,2006,134,135000000,163794509,11.7254,5.7,494
83,tt0374102,Open Water,2004,79,130000,54667954,10.6528,5.3,320
85,tt0082971,Raiders of the Lost Ark,1981,115,18000000,389925971,19.9016,7.7,3949
87,tt0087469,Indiana Jones and the Temple of Doom,1984,118,28000000,333000000,15.8023,7.1,2841
88,tt0092890,Dirty Dancing,1987,100,6000000,213954274,14.0441,7.1,1371
89,tt0097576,Indiana Jones and the Last Crusade,1989,127,48000000,474171806,14.789,7.6,3221
90,tt0086960,Beverly Hills Cop,1984,105,15000000,316360478,8.50348,6.8,985
95,tt0120591,Armageddon,1998,151,140000000,553799566,13.2351,6.5,2540
96,tt0092644,Beverly Hills Cop II,1987,100,20000000,299965036,9.20034,6.1,627
97,tt0084827,Tron,1982,96,17000000,33000000,16.574,6.6,717
98,tt0172495,Gladiator,2000,155,103000000,457640427,23.1867,7.9,5566
99,tt0185125,All About My Mother,1999,101,8272296,67872296,10.0009,7.4,337
100,tt0120735,"Lock, Stock and Two Smoking Barrels",1998,105,1350000,3897569,4.60786,7.5,1671
101,tt0110413,Leon: The Professional,1994,110,16000000,45284974,20.4773,8.2,4293
104,tt0130827,Run Lola Run,1998,81,1530000,7267585,7.76538,7.2,672
